ClusterID,ArtisanID,ArtefactID,Artefact Name,Artefact Type,Artefact Size,Description,Dimensions,Artefact Material,Artefact Weight,Artefact price,ArtefactLink 
JD-BH,JD-BH-01,JD-BH-01-001,Square Sagwan box,Box,3D,"Fine jewellery box created from a mixture of natural Sagwan (Teak) wood and bone-inlay. A rich brown color with elaborate geometric patterns adorns the flat detachable lid. Handcrafted to store precious collectibles, the wooden surface renders a smooth touch. Coated with off-white and black lacquer, the box has a glossy finish to it. This gorgeously designed box can be used as a jewellery/storage box or simply a lovely piece to ornate your space.",4 X 4,"Wood, Bone",0.50,"1,880",
JD-BH,JD-BH-01,JD-BH-01-002,Semi-circular Sagwan Box ,Box,3D,A traditional design handcrafted in a rich brown finish. The semi circle shape of the box gives it a striking appearance. A stylish and elegant accessory for jewellery and trinkets or any valuable items. Etched floral patterns on the sides make it a decorative piece of art.,6 X 4,"Wood, Bone",0.50,"1,660",
JD-BH,JD-BH-01,JD-BH-01-003,Bone Carving Box,Box,3D,Monochrome tiled bone inlay decorative box. Classic geometrical design with a multiple storage use. The base is wood and chips of hand crafted bone are carefully cut into delicate shapes and affixed in geometrical patterns. The box is finally waxed and polished to bring out the detailed textures and beauty of the inlay work.,5 X 4,"Wood, Bone",0.60,"2,250",
JD-BH,JD-BH-01,JD-BH-01-004,Antique Box,Box,3D,Floral bone inlay box. This piece has multiple uses for storage of jewellery or an art piece. Combination of wood an bone in a classical style where delicately carves pieces of bone have been individually inlaid onto a wooden frame. A perfect table top decor and can be used as a gift or a jewellery box. ,4 X 4,"Wood, Bone",0.60,"1,950",
JD-BH,JD-BH-01,JD-BH-01-006,Sagwan Gift Box,Box,3D,"This intricately carved multipurpose box can be your next Diwali gift to your loved ones. Fill it with dry fruits or place your favourite jewels, this is a perfectly sized box that is your memory treasure. ",5 X 4,"Wood, Bone",0.30,"1,750",
JD-BH,JD-BH-01,JD-BH-01-011,Bone Inlay Cross Floral,Cross,3D,Handcrafted floral bone inlay crucifix. Intricately crafted by the artisans of Jodhpur. Each piece bone is  carved by hand and inlaid with precision onto the wooden frame and layers of coloured resin has been delicately used to fill and secure the spaces.,14 X 9.5,"Wood, Bone, Resin, MDF",0.70,"1,500",
JD-BH,JD-BH-01,JD-BH-01-013,Antique Cross ,Cross,3D,"Handcrafted bone inlaid cruciix made by the bone and horn artisans of Jodhpur. This statement piece lends an antique touch to homes and also makes for an unqiue gifting item. It uses the rather newer technique of resin and MDF along with the older raw materials, becoming a display of collective worksmanship and its evolution. ",15 X 10,"Wood, Bone, Resin, MDF",0.70,"2,500",
JD-BH,JD-BH-01,JD-BH-01-015,Pyramid Art Floral,Pyramid,3D,"Handcrafted Pyramid by artisans in Jodhpur, multi color with resin art and Hand painted.Beautifully and uniquely designed antique and item . This eye catching and sophisticated work of art has been made by our master craftsmen artfully hand carving each piece of bone and laying it meticulously onto the wood with glue, hand dying the composite material that makes the striking colours, which contrast so beautifully to the bone inlay, finishing the piece so that the natural inlay is clear and untarnished.",,"Wood, Bone, Resin, MDF",0.60,"3,000",
JD-BH,JD-BH-01,JD-BH-01-017,Serving Tray,Tray,3D,"A blend of new and old techniques this bone on wood serving tray, also uses resin and MDF for furbishing. A touch of classic in your kitchen, this product is a must have for all antique lovers! It is also available in multiple sizes, to suit your needs. ",20 X 12,"Wood, Bone, Resin, MDF",2.50,"8,000",
JD-BH,JD-BH-01,JD-BH-01-019,Mughal Jali Serving Tray,Tray,3D,"Who doesn't like a little hint of royalty. From the land of royalty itself, this Mughal Jali work inspired serving tray has enough space to hold all your delectables for you and your guests. And what better that the composite and contrasting patterns are a sight for sore eyes!",12 X 8,"Wood, Bone, Resin, MDF",2.00,"3,200",
JD-BH,JD-BH-01,JD-BH-01-020,Floral Photo Frame ,Frame,3D,"Artistically carved with bone on wood, resin and MDF placed into intricate motifs, enhancing the look of a photo frame. A precious framing for your precious memories, this product adds a rustic feel to any wall or console table. ",12 X 15,"Wood, Bone, Resin, MDF",3.00,"2,000",
JD-BH,JD-BH-01,JD-BH-01-023,Floral Photo Frame ,Frame,3D,"Every precious memory deserves a precious frame. This floral inlaid bone on wood worked frame is a perfect addition to your photo wall, adding a tinch of old-school classic. A unique and antique inlay work from Jodhpur, this piece radiates creativity and sustanaibility. ",12 X 10,"Wood, Bone, Resin, MDF",1.50,"2,000",
JD-BH,JD-BH-01,JD-BH-01-024,Table Top,Top,3D,"Multicoloured table top that can become the next centre of attraction in your living room! With geometric embossing with resin and bone work, this top is durable and heat resistant. Nevertheless, it awaits some coffee spills!",12 X 12,"Wood, Bone, Resin, MDF",1.00,"1,600",
JD-BH,JD-BH-01,JD-BH-01-025,Circular Table Coasters ,Coaster,3D,"Add a touch of antique classic to your dining table using these bone and wood coasters. The MDF and resin coating provide a lustrous finish to the product and make it suitable for all hot and cold placings. Perfectly complementing the texture of glass, these coasters make for great party accessories. ",4 X 4,"Wood, Bone, Resin, MDF",0.60,"1,100",
JD-BH,JD-BH-01,JD-BH-01-027,Antique Bangle Box,Box,3D,Always searching for your favourite bracelet when in hurry? This bangle box is here to resolve your woes and also add a complementing classic touch to your dresser. Double it up as a jewellery box for a one-stop solution for all your dressing needs. ,7.5 X 4,"Wood, Bone, Resin, MDF",1.00,"27,000",
JD-BH,JD-BH-01,JD-BH-01-029,Antique Ornament Box,Box,3D,"This monochromatic bone and wood ornament box is a multipurpose case for your dresser. A fit for all your precious jewels and family heirlooms, this box comes with a resin and MDF coating perfectly complementing the shine and lustre of your ornaments. ",3 X 3.5,"Wood, Bone, Resin, MDF",4.00,"9,000",
JD-BH,JD-BH-01,JD-BH-01-031,Taj Mahal,Monument,3D,"India's pride Taj Mahal modeled intricately in bone and horn. This exclusively refined piece of art perfectly captures the magnanimity of this UNESCO World Heritage Site with its engraved arches, domes and minarets. With a perfect symmetry, this baby Taj is as enamouring as the original, if not more. ",20 X 20,"Wood, Bone, MDF, Resin",22.00,"1,000,000",
JD-BH,JD-BH-01,JD-BH-01-005,Hand painted Box,Box,2D,"A simplistic handpainted box to serve all your multipurpose needs. Made of wood, inlaid with bone, the box is a true representative of modest art. With elements of modernity brought into a medieval craft and ancinet technique, makes the simple looking box an unique keep. It also offers a plenty of storage space and can also be used as a home decor. ",6 X 5,"Wood, Bone",0.30,"1,050",
JD-BH,JD-BH-01,JD-BH-01-007,Ambuish Box,Box,2D,"Featuring elegantly carved flowery patterns, this unique ornate piece is the absolute style statement that doubles as essential storage and design accent. Made from ethically sourced bone, the pattern is perfectly etched on the surface, along with the sides, against a background of natural teak wood inset into the box.",7.5 X 4,"Wood, Bone",0.70,"2,500",
JD-BH,JD-BH-01,JD-BH-01-008,Storage Box,Box,2D,"Inlaid with bone tile, this expertly crafted box makes a geometric addition to a desk, vanity or tabletop. Use it to hold jewellery, office accessories or favorite small mementos. Filled with white and black lacquer, the high gloss finish of the surface gives an elegant appeal. A pattern of contrasting triangles emit a 3D effect.",9 X 5,"Wood, Bone, Resin",0.85,"3,000",
JD-BH,JD-BH-01,JD-BH-01-009,Jewellery Box,Box,2D,"A keeper of your love and legacy, that holds all your grandmother's heirlooms and your favourite set of bracelets, this jewellery box opens a panorama of storage options. Each stroke of the geometric motif is individually hand-carved out of natural bone and inlaid into the wood. Glossed with a high-quality resin, the box is sure to add to the visual appeal of your home décor.",10 X 7,"Wood, Bone, Resin",1.00,"4,200",
JD-BH,JD-BH-01,JD-BH-01-010,Bone Inlay Cross,Cross,2D,"Handcrafted geometric bone inlay crucifix that has been handcrafted by the bone and horn artisans of Jodhpur. The inlay work enables to create a simplistic yet elegant colour combination and texturing. It can be used as piece of home decor or a gift item, given its uniqueness. ",9 X 5.5,"Wood, Bone, Resin, MDF",0.20,700,
JD-BH,JD-BH-01,JD-BH-01-012,Udaipuri Design Cross,Cross,2D,"A bone inlaid on wood crucifix that is also a representation of the unique craftsmanship of rajasthan. The contrasting white and blue make the artefact pop and are best suited to complement any wall type. This intricately handcrafted piece is a testimonial to the famous blue pottery of Jodhpur, and is a keepsake for all those who love to collect souvenirs. ",14 X 9.5,"Wood, Bone, Resin, MDF",0.70,"1,500",
JD-BH,JD-BH-01,JD-BH-01-014,Pyramid Art,Pyramid,2D,"A unique gfiting piece or home decor item exculsively designed and handcrafted by the bone and horn artisans of Jodhpur. The geometric patterns and bone inlay work has been used to produced something new and interesting, a true representation of the innovation in the artform. The colours of the artefact lend an earthy and antique feel to the art.",,"Wood, Bone, Resin, MDF",0.60,"3,000",
JD-BH,JD-BH-01,JD-BH-01-016,Floral Serving Tray,Tray,2D,"This bone inlaid serving tray is definitely a showstopper. With floral patterns that have been intricately carved motifs in resin and MDF, this tray blends the old and new techniques of the bone and horn industry. It adds a tinch of antiqueness and Indian ethnic design. A simple yet unique piece for your home, that can also become your gift to your loved ones next festive season. ",16 X 16,"Wood, Bone, Resin, MDF",2.50,"6,000",
JD-BH,JD-BH-01,JD-BH-01-018,Sagwan Serving Tray,Tray,2D,"Straight from the workshops of Jodhpur, this true Sagwan wood geometrically laid serving tray is an exquisite addition to your kitchen. Multipurpose it as a tray to hold your vases and candles, to create the perfect cottage core aesthetic. ",14 X 10,"Wood, Bone, Resin, MDF",2.00,"4,500",
JD-BH,JD-BH-01,JD-BH-01-021,Mughal Jali Photo Frame,Frame,2D,"Taking you back to the medieval times, the jali photo frame is here to keep your memories intact. With a fashionable aesthetic and traditional look, the frame can be kept as a showcase in the living room or bed-side table to add a pop of colour and also a tinch of handwork detailing. ",12 X 10,"Wood, Bone, Resin, MDF",1.50,"2,000",
